-56,-56,-58,-49,-60,-72,-66,-70
-53,-55,-64,-48,-54,-62,-65,-67
-52,-59,-65,-49,-60,-63,-63,-63
-54,-58,-63,-48,-74,-64,-62,-62
-56,-54,-61,-46,-59,-62,-58,-75
-52,-54,-63,-46,-67,-57,-59,-59
-54,-62,-61,-53,-68,-61,-61,-60
-54,-55,-63,-54,-65,-64,-63,-69
-54,-58,-63,-48,-63,-63,-63,-64
-58,-55,-66,-47,-53,-51,-60,-57
-56,-58,-63,-49,-55,-57,-51,-58
-56,-74,-64,-55,-52,-56,-60,-55
-54,-57,-62,-57,-56,-56,-61,-57
-58,-61,-70,-50,-51,-57,-55,-58
-58,-56,-66,-48,-59,-56,-61,-63
-56,-61,-65,-47,-53,-62,-60,-58
-57,-56,-66,-49,-59,-51,-63,-63
-57,-69,-71,-44,-58,-59,-64,-60
-53,-59,-70,-49,-68,-67,-59,-56
-56,-58,-71,-51,-60,-59,-51,-60
-54,-57,-60,-51,-67,-58,-59,-62
-58,-63,-66,-49,-63,-66,-63,-62
-58,-60,-67,-48,-67,-55,-62,-61
-59,-55,-71,-48,-74,-64,-59,-66
-55,-56,-70,-52,-61,-58,-61,-61
-55,-57,-63,-46,-66,-52,-56,-60
-63,-57,-70,-44,-56,-59,-63,-63
-57,-73,-71,-46,-65,-56,-58,-59
-59,-60,-72,-45,-64,-56,-59,-72
-62,-59,-72,-48,-58,-59,-60,-63
-57,-60,-72,-45,-58,-56,-60,-62
-58,-62,-69,-48,-63,-51,-63,-60
-57,-62,-71,-57,-60,-71,-62,-61
-54,-59,-63,-52,-58,-53,-60,-57
-61,-60,-66,-43,-53,-59,-65,-61
-53,-55,-78,-47,-54,-55,-63,-57
-55,-59,-69,-48,-51,-53,-62,-57
-54,-55,-74,-44,-56,-54,-66,-57
-60,-67,-64,-45,-56,-53,-61,-56
-53,-62,-62,-48,-59,-54,-60,-61
-54,-55,-64,-48,-66,-53,-58,-70
-57,-61,-65,-45,-66,-68,-74,-66
-57,-61,-65,-44,-64,-55,-60,-60
-55,-62,-77,-44,-65,-52,-63,-59
-53,-61,-69,-45,-65,-53,-61,-60
-54,-57,-67,-45,-71,-61,-58,-59
-58,-58,-73,-46,-62,-62,-56,-68
-56,-62,-67,-47,-73,-64,-58,-61
